1476809986	POI		    0	     	DONE
1476809987	POI		    1	     	DONE
1476809989	POI		    2	     	DONE
1476809990	POI		    3	     	DONE
1476809991	POI		    4	     	DONE
1476809992	POI		    5	     	DONE
1476809993	POI		    6	     	DONE
1476809995	POI		    7	     	DONE
1476809996	POI		    8	     	DONE
1476809997	POI		    9	     	DONE
1476809998	POI		   10	     	DONE
1476810000	POI		   11	     	DONE
1476810001	POI		   12	     	DONE
1476810002	POI		   13	     	DONE
1476810003	POI		   14	     	DONE
1476810004	POI		   15	     	DONE
1476810006	POI		   16	     	DONE
1476810007	POI		   17	     	DONE
1476810008	POI		   18	     	DONE
1476810009	POI		   19	     	DONE
1476810010	POI		   20	     	DONE
1476810012	POI		   21	     	DONE
1476810013	POI		   22	     	DONE
1476810014	POI		   23	     	DONE
1476810015	POI		   24	     	DONE
1476810017	POI		   25	     	DONE
1476810018	POI		   26	     	DONE
1476810019	POI		   27	     	DONE
1476810020	POI		   28	     	DONE
1476810022	POI		   29	     	DONE
1476810024	POI		   30	     	DONE
1476810025	POI		   31	     	DONE
1476810026	POI		   32	     	DONE
1476810027	POI		   33	     	DONE
1476810029	POI		   34	     	DONE
1476810030	POI		   35	     	DONE
1476810031	POI		   36	     	DONE
1476810032	POI		   37	     	DONE
1476810034	POI		   38	     	DONE
1476810035	POI		   39	     	DONE
1476810036	POI		   40	     	DONE
1476810037	POI		   41	     	DONE
1476810038	POI		   42	     	DONE
1476810040	POI		   43	     	DONE
1476810041	POI		   44	     	DONE
1476810042	POI		   45	     	DONE
1476810043	POI		   46	     	DONE
1476810045	POI		   47	     	DONE
1476810046	POI		   48	     	DONE
1476810047	POI		   49	     	DONE
1476810048	POI		   50	     	DONE
1476810050	POI		   51	     	DONE
1476810051	POI		   52	     	DONE
1476810052	POI		   53	     	DONE
1476810053	POI		   54	     	DONE
1476810054	POI		   55	     	DONE
1476810056	POI		   56	     	DONE
1476810057	POI		   57	     	DONE
1476810058	POI		   58	     	DONE
1476810060	POI		   59	     	DONE
1476810061	POI		   60	     	DONE
1476810063	POI		   61	     	DONE
1476810064	POI		   62	     	DONE
1476810065	POI		   63	     	DONE
1476810066	POI		   64	     	DONE
1476810067	POI		   65	     	DONE
1476810069	POI		   66	     	DONE
1476810070	POI		   67	     	DONE
1476810071	POI		   68	     	DONE
1476810072	POI		   69	     	DONE
